Name,Ticker,Date,Actual,Estimate
Mondelez International Inc,MDLZ,2019-04-30,0.65,0.612
Medtronic PLC,MDT,2019-02-19,1.29,1.236
MetLife Inc,MET,2019-05-01,1.48,1.272
MGM Resorts International,MGM,2019-04-29,0.14,0.213
Mohawk Industries Inc,MHK,2019-04-25,2.13,2.064
McCormick & Co Inc/MD,MKC,2019-03-26,1.12,1.04
MarketAxess Holdings Inc,MKTX,2019-04-24,1.39,1.375
Martin Marietta Materials Inc,MLM,2019-04-30,0.68,0.33
Marsh & McLennan Cos Inc,MMC,2019-04-25,1.52,1.452
3M Co,MMM,2019-04-25,2.23,2.485
Monster Beverage Corp,MNST,2019-05-02,0.49,0.424
Altria Group Inc,MO,2019-04-25,0.9,0.921
Mosaic Co/The,MOS,2019-02-25,0.77,0.571
Marathon Petroleum Corp,MPC,2019-05-08,-0.09,0.05
Merck & Co Inc,MRK,2019-04-30,1.22,1.051
Marathon Oil Corp,MRO,2019-05-01,0.31,0.07
Morgan Stanley,MS,2019-04-17,1.33,1.166
MSCI Inc,MSCI,2019-05-02,1.55,1.4
Microsoft Corp,MSFT,2019-04-24,1.14,0.999
Motorola Solutions Inc,MSI,2019-05-02,1.28,1.145
M&T Bank Corp,MTB,2019-04-15,3.35,3.301
Mettler-Toledo International I,MTD,2019-05-09,4.1,4.051
Micron Technology Inc,MU,2019-03-20,1.71,1.654
Maxim Integrated Products Inc,MXIM,2019-04-30,0.52,0.52
Mylan NV,MYL,2019-02-26,1.3,1.349
Noble Energy Inc,NBL,2019-05-03,-0.09,-0.064
Norwegian Cruise Line Holdings,NCLH,2019-02-21,0.85,0.794
Nasdaq Inc,NDAQ,2019-04-24,1.22,1.163
NextEra Energy Inc,NEE,2019-04-23,2.2,2.047
Newmont Goldcorp Corp,NEM,2019-04-25,0.33,0.273
Netflix Inc,NFLX,2019-04-16,0.76,0.58
NiSource Inc,NI,2019-05-01,0.82,0.77
NIKE Inc,NKE,2019-03-21,0.68,0.647
NortonLifeLock Inc,NLOK,2019-05-09,0.39,0.394
Nielsen Holdings PLC,NLSN,2019-04-30,0.35,0.319
Northrop Grumman Corp,NOC,2019-04-24,5.06,4.587
National Oilwell Varco Inc,NOV,2019-04-25,-0.18,-0.08
ServiceNow Inc,NOW,2019-04-24,0.67,0.543
NRG Energy Inc,NRG,2019-02-28,-0.43,0.16
Norfolk Southern Corp,NSC,2019-04-24,2.51,2.179
NetApp Inc,NTAP,2019-02-13,1.2,1.148
Northern Trust Corp,NTRS,2019-04-23,1.53,1.469
Nucor Corp,NUE,2019-04-23,1.63,1.504
NVIDIA Corp,NVDA,2019-02-14,0.8,0.78
NVR Inc,NVR,2019-04-22,47.64,34.448
Newell Brands Inc,NWL,2019-05-03,0.14,0.03
News Corp,NWSA,2019-05-09,0.04,0.015
Realty Income Corp,O,2019-05-01,0.81,0.802
ONEOK Inc,OKE,2019-04-30,0.81,0.723
Omnicom Group Inc,OMC,2019-04-16,1.17,1.082
Oracle Corp,ORCL,2019-03-14,0.87,0.841
O'Reilly Automotive Inc,ORLY,2019-04-24,4.05,4.055
Occidental Petroleum Corp,OXY,2019-05-06,0.84,0.733
Paychex Inc,PAYX,2019-03-27,0.89,0.882
People's United Financial Inc,PBCT,2019-04-18,0.33,0.333
PACCAR Inc,PCAR,2019-04-30,1.81,1.654
Healthpeak Properties Inc,PEAK,2019-05-01,0.44,0.431
Public Service Enterprise Grou,PEG,2019-05-02,1.08,1.003
PepsiCo Inc,PEP,2019-04-17,0.97,0.914
Pfizer Inc,PFE,2019-04-30,0.85,0.761
Principal Financial Group Inc,PFG,2019-04-25,1.43,1.308
Procter & Gamble Co/The,PG,2019-04-23,1.06,1.032
Progressive Corp/The,PGR,2019-04-16,1.83,1.359
Parker-Hannifin Corp,PH,2019-05-02,3.17,3.015
PulteGroup Inc,PHM,2019-04-23,0.59,0.473
Packaging Corp of America,PKG,2019-04-24,1.98,1.957
PerkinElmer Inc,PKI,2019-04-25,0.69,0.662
Prologis Inc,PLD,2019-04-16,0.73,0.718
Philip Morris International In,PM,2019-04-18,1.09,0.997
PNC Financial Services Group I,PNC,2019-04-12,2.69,2.608
Pentair PLC,PNR,2019-04-17,0.43,0.43
Pinnacle West Capital Corp,PNW,2019-05-01,0.16,0.168
PPG Industries Inc,PPG,2019-04-18,1.38,1.21
PPL Corp,PPL,2019-05-02,0.7,0.725
Perrigo Co PLC,PRGO,2019-02-27,0.97,0.995
Prudential Financial Inc,PRU,2019-05-01,3,3.144
Public Storage,PSA,2019-05-01,2.53,2.521
Phillips 66,PSX,2019-04-30,0.4,0.34
PVH Corp,PVH,2019-03-27,1.84,1.751
Quanta Services Inc,PWR,2019-05-02,0.96,0.823
Pioneer Natural Resources Co,PXD,2019-05-06,1.83,1.599
PayPal Holdings Inc,PYPL,2019-04-24,0.78,0.678
QUALCOMM Inc,QCOM,2019-05-01,0.77,0.706
Qorvo Inc,QRVO,2019-05-07,1.22,1.055
Royal Caribbean Cruises Ltd,RCL,2019-05-01,1.31,1.107
Everest Re Group Ltd,RE,2019-05-06,6.91,5.901
Regency Centers Corp,REG,2019-05-02,0.95,0.956
Regeneron Pharmaceuticals Inc,REGN,2019-05-07,4.45,5.706
Regions Financial Corp,RF,2019-04-18,0.37,0.369
Robert Half International Inc,RHI,2019-04-23,0.93,0.951
Raymond James Financial Inc,RJF,2019-04-24,1.81,1.633
Ralph Lauren Corp,RL,2019-05-14,1.07,0.898
ResMed Inc,RMD,2019-05-02,0.89,0.851
Rockwell Automation Inc,ROK,2019-04-25,2.04,2.081
Rollins Inc,ROL,2019-04-24,0.13,0.152
Roper Technologies Inc,ROP,2019-04-25,3.3,2.779
Ross Stores Inc,ROST,2019-03-05,1.2,1.131
Republic Services Inc,RSG,2019-04-25,0.73,0.719
Raytheon Co,RTN,2019-04-25,2.77,2.472
SBA Communications Corp,SBAC,2019-04-29,1.72,1.663
Starbucks Corp,SBUX,2019-04-25,0.6,0.563
Charles Schwab Corp/The,SCHW,2019-04-15,0.69,0.657
Sealed Air Corp,SEE,2019-05-01,0.59,0.571
Sherwin-Williams Co/The,SHW,2019-04-23,3.6,3.657
SVB Financial Group,SIVB,2019-04-25,5.44,4.782
JM Smucker Co/The,SJM,2019-02-26,2.26,2.014
Schlumberger Ltd,SLB,2019-04-18,0.3,0.301
SL Green Realty Corp,SLG,2019-04-17,1.68,1.689
Snap-on Inc,SNA,2019-04-18,3.01,2.901
Synopsys Inc,SNPS,2019-02-20,1.08,0.966
Southern Co/The,SO,2019-05-01,0.7,0.719
Simon Property Group Inc,SPG,2019-04-30,3.04,3.054
S&P Global Inc,SPGI,2019-05-02,2.11,2.134
Sempra Energy,SRE,2019-02-26,1.56,1.46
SunTrust Banks Inc,STI,2019-04-18,1.33,1.304
State Street Corp,STT,2019-04-23,1.24,1.195
Seagate Technology PLC,STX,2019-04-30,0.83,0.713
Constellation Brands Inc,STZ,2019-04-04,1.84,1.714
Stanley Black & Decker Inc,SWK,2019-04-24,1.42,1.113
Skyworks Solutions Inc,SWKS,2019-05-02,1.47,1.43
Synchrony Financial,SYF,2019-04-18,1,0.891
Stryker Corp,SYK,2019-04-23,1.88,1.839
Sysco Corp,SYY,2019-05-06,0.79,0.702
AT&T Inc,T,2019-04-24,0.86,0.858
Molson Coors Brewing Co,TAP,2019-05-01,0.52,0.576
TransDigm Group Inc,TDG,2019-05-07,4.21,3.956
TE Connectivity Ltd,TEL,2019-04-24,1.42,1.283
Teleflex Inc,TFX,2019-05-02,2.24,2.126
Target Corp,TGT,2019-03-05,1.53,1.527
Tiffany & Co,TIF,2019-03-22,1.67,1.601
TJX Cos Inc/The,TJX,2019-02-27,0.68,0.683
Thermo Fisher Scientific Inc,TMO,2019-04-24,2.81,2.73
T-Mobile US Inc,TMUS,2019-04-25,1.06,0.92
Tapestry Inc,TPR,2019-05-09,0.42,0.411
TripAdvisor Inc,TRIP,2019-05-07,0.36,0.315
T Rowe Price Group Inc,TROW,2019-04-24,1.87,1.683
Travelers Cos Inc/The,TRV,2019-04-18,2.83,2.738
Tractor Supply Co,TSCO,2019-04-25,0.63,0.554
Tyson Foods Inc,TSN,2019-05-06,1.2,1.128
Take-Two Interactive Software,TTWO,2019-05-13,0.78,0.738
Twitter Inc,TWTR,2019-04-23,0.37,0.147
Texas Instruments Inc,TXN,2019-04-23,1.26,1.128
Textron Inc,TXT,2019-04-17,0.76,0.683
Under Armour Inc,UAA,2019-05-02,0.05,-0.001
United Airlines Holdings Inc,UAL,2019-04-16,1.15,0.952
UDR Inc,UDR,2019-04-30,0.5,0.503
Universal Health Services Inc,UHS,2019-04-25,2.45,2.605
Ulta Beauty Inc,ULTA,2019-03-14,3.61,3.557
UnitedHealth Group Inc,UNH,2019-04-16,3.73,3.599
